Model Name,Combined Score,Coverage %,Precision %,Cluster Count Score %,Deviation Score %,Model Clusters,Benchmark Clusters,Matched Messages,INPUT_TOKENS,OUTPUT_TOKENS,TOTAL_TOKENS,COST_PER_INPUT_TOKEN,COST_PER_OUTPUT_TOKEN,TOKEN_COST
openai_gpt-5,92.60,95.00,95.00,93.33,87.08,14,15,285,32792,0,32792,0.00125,0.01,0.0409900000
google_gemini-2.5-flash,86.14,90.67,90.67,86.67,76.54,13,15,272,29977,1080,31057,0.0003,0.0025,0.0116931000
google_gemini-1.5-pro-latest,85.75,90.67,90.67,86.67,75.00,13,15,272,29725,2919,32644,0.00125,0.005,0.0517512500
google_gemini-1.5-pro,85.75,90.67,90.67,86.67,75.00,13,15,272,29719,2889,32608,0.00125,0.005,0.0515937500
google_gemini-2.0-flash-001,85.75,90.67,90.67,86.67,75.00,13,15,272,29719,3419,33138,0.0001,0.0004,0.0043395000
google_gemini-2.0-flash,85.75,90.67,90.67,86.67,75.00,13,15,272,29721,3408,33129,0.0001,0.0004,0.0043353000
google_gemini-2.5-flash-lite,85.75,90.67,90.67,86.67,75.00,13,15,272,29970,3448,33418,0.0001,0.0004,0.0043762000
xai_grok-2-vision-1212,57.70,66.67,67.80,66.67,29.66,10,15,200,28848,3506,32354,0.002,0.01,0.0927560000
google_gemini-1.5-flash-8b,54.90,42.00,71.59,80.00,26.03,12,15,126,28340,3248,31588,3.75e-05,0.00015,0.0015499500
google_gemini-2.5-pro,54.33,9.33,100.00,100.00,8.00,15,15,28,27958,3507,31465,0.00125,0.01,0.0700175000
openai_gpt-4o,52.91,58.00,63.04,66.67,23.94,10,15,174,26208,2386,28594,0.0025,0.01,0.0893800000
xai_grok-2-1212,50.71,61.67,62.71,60.00,18.45,9,15,185,28853,3432,32285,0.002,0.01,0.0920260000
xai_grok-3,48.98,16.33,76.56,93.33,9.68,14,15,49,24310,2332,26642,0.002,0.01,0.0719400000
google_gemma-3-4b-it,47.56,19.00,80.28,66.67,24.28,10,15,57,10871,0,10871,0.0,0.0,0.0000000000
google_gemini-1.5-flash,47.35,38.00,66.28,73.33,11.79,11,15,114,27927,2643,30570,7.5e-05,0.0003,0.0028874250
google_gemini-1.5-pro-002,47.28,8.67,100.00,73.33,7.11,11,15,26,27668,3283,30951,0.00125,0.005,0.0510000000
google_gemini-1.5-flash-latest,45.68,38.00,66.28,66.67,11.79,10,15,114,27927,2647,30574,7.5e-05,0.0003,0.0028886250
google_gemma-3-12b-it,42.30,24.33,84.88,33.33,26.67,5,15,73,9651,0,9651,0.0,0.0,0.0000000000
google_gemini-1.5-flash-002,40.09,43.00,53.75,60.00,3.63,9,15,129,27928,3013,30941,7.5e-05,0.0003,0.0029985000
google_gemini-2.0-flash-lite,35.24,46.67,47.62,46.67,0.00,7,15,140,29744,3488,33232,7.5e-05,0.0003,0.0032772000
google_gemini-2.0-flash-lite-001,35.24,46.67,47.62,46.67,0.00,7,15,140,29723,3470,33193,7.5e-05,0.0003,0.0032702250
google_gemma-3-27b-it,32.60,6.67,60.61,60.00,3.11,9,15,20,9745,0,9745,0.0,0.0,0.0000000000
google_gemma-3n-e4b-it,21.31,14.33,50.00,20.00,0.89,3,15,43,9457,2082,11539,0.0,0.0,0.0000000000
google_gemma-3-1b-it,15.88,4.33,52.00,6.67,0.51,1,15,13,9227,1191,10418,0.0,0.0,0.0000000000
google_gemma-3n-e2b-it,10.61,10.00,19.11,13.33,0.00,2,15,30,9399,1374,10773,0.0,0.0,0.0000000000
